year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2018,Acura,TLX,Technology,Bellanova White Pearl,Parchment,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,69346,FALSE,TRUE,TRUE,24295
2021,Acura,RDX,A-Spec,Performance Red Pearl,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,15439,FALSE,TRUE,TRUE,42595
2001,Acura,MDX,Touring,Black,Ebony,Four-wheel Drive,Gasoline,5-Speed Automatic,158731,FALSE,FALSE,TRUE,6987
2013,Acura,TL,3.5,Crystal Black Pearl,Parchment,Front-wheel Drive,Gasoline,6-Speed Automatic,78534,TRUE,TRUE,TRUE,15495
2018,Acura,TLX,FWD,Lunar Silver Metallic,Black,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,48809,TRUE,FALSE,TRUE,22799
1997,Acura,Integra,TYPE R,White,Black,Front-wheel Drive,Gasoline,5-Speed Manual,14789,FALSE,TRUE,TRUE,58000
2020,Acura,RDX,Technology Package,Apex Blue Pearl,Graystone,Front-wheel Drive,Gasoline,10-Speed Automatic,29780,TRUE,TRUE,TRUE,33669
2022,Acura,NSX,Type S,Berlina Black,Ebony,All-wheel Drive,Hybrid,9-Speed Automatic with Auto-Shift,121,FALSE,TRUE,FALSE,295000
2022,Acura,TLX,A-Spec,Platinum White Pearl,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,16683,FALSE,TRUE,TRUE,43196
2017,Acura,TLX,V6 w/Technology Package,White,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,125521,TRUE,FALSE,TRUE,18995
2019,Acura,TLX,V6 Technology & A-Spec,Black,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,72326,TRUE,FALSE,TRUE,27950
2016,Acura,ILX,2.4L,Gray,Parchment,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,126248,TRUE,FALSE,TRUE,15500
2012,Acura,TSX,Technology,White,Beige,Front-wheel Drive,Gasoline,5-Speed Automatic,118984,FALSE,FALSE,FALSE,13250
2016,Acura,MDX,3.5L w/Technology Package,Silver Gray,Ebony,FWD,Gasoline,9-Speed Automatic,81188,FALSE,FALSE,TRUE,22551
2019,Acura,ILX,Premium Package,Platinum White Pearl,Graystone,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,35121,FALSE,FALSE,TRUE,25580
2022,Acura,TLX,Technology,Gray,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,5620,FALSE,TRUE,TRUE,36998
2016,Acura,ILX,2.4L,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,8-Speed,99917,FALSE,TRUE,TRUE,16491
2015,Acura,TLX,V6 Tech,Black,Espresso,All-wheel Drive,Gasoline,9-Speed Automatic,116947,FALSE,FALSE,FALSE,15963
2011,Acura,TSX,2.4,Burgundy,Taupe,Front-wheel Drive,Gasoline,5-Speed Automatic,76603,FALSE,TRUE,TRUE,14998
2022,Acura,TLX,Base,Modern Steel Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,2412,FALSE,TRUE,TRUE,36888
2021,Acura,TLX,Technology,Gray,Espresso,Front-wheel Drive,Gasoline,10-Speed Automatic,18531,FALSE,TRUE,TRUE,35356
2020,Acura,TLX,A-Spec,Platinum White Pearl,Red,Front-wheel Drive,Gasoline,9-Speed Automatic,19862,FALSE,FALSE,FALSE,33555
2013,Acura,TSX,Technology,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,5-Speed Automatic,82045,FALSE,FALSE,TRUE,19995
2019,Acura,TLX,Technology & A-Spec,Crystal Black Pearl,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,48212,FALSE,FALSE,TRUE,28244
2021,Acura,TLX,Advance,Gray,Ebony,All-wheel Drive,Gasoline,10-Speed Automatic,21171,FALSE,FALSE,FALSE,38157
2021,Acura,TLX,A-Spec,Lunar Silver Metallic,Ebony,Front-wheel Drive,Gasoline,10-Speed Automatic,18960,FALSE,TRUE,TRUE,38663
2020,Acura,TLX,A-Spec,Majestic Black Pearl,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,40508,TRUE,TRUE,TRUE,31499
2016,Acura,TLX,V6,Bellanova White Pearl,Ebony,Front-wheel Drive,Gasoline,9-Speed Automatic,71333,TRUE,FALSE,TRUE,21599
2017,Acura,NSX,SH-AWD Sport Hybrid,Berlina Black,Ebony,All-wheel Drive,Gasoline,Automatic,22716,FALSE,TRUE,TRUE,134788
2020,Acura,MDX Sport Hybrid,3.0L w/Advance Package,Platinum White Pearl,Ebony,All-wheel Drive,Hybrid,7-Speed Automatic with Auto-Shift,25830,FALSE,FALSE,TRUE,42995
2022,Acura,TLX,Advance,Performance Red,Ebony,All-wheel Drive,Gasoline,Automatic,4857,FALSE,TRUE,FALSE,41072
2013,Acura,TL,Technology,White,Ebony,All-wheel Drive,Gasoline,6-Speed Manual,129795,FALSE,FALSE,FALSE,16995
2008,Acura,TL,3.2,Tan,Black,Front-wheel Drive,Gasoline,5-Speed Automatic,104037,FALSE,FALSE,TRUE,10495
2010,Acura,ZDX,,Black,Ebony,All-wheel Drive,Gasoline,6-Speed Automatic,166095,TRUE,FALSE,TRUE,11495
2020,Acura,RDX,Base,Modern Steel Metallic,Ebony,FWD,Gasoline,10-Speed Automatic,38383,FALSE,TRUE,TRUE,32450
2020,Acura,TLX,Base,Valencia Red Pearl,Ebony,All-wheel Drive,Gasoline,Automatic,46114,FALSE,TRUE,TRUE,38627
2019,Acura,MDX Sport Hybrid,3.0L w/Advance Package,Pearl,Parchment,All-wheel Drive,Hybrid,7-Speed Automatic with Auto-Shift,23458,FALSE,TRUE,TRUE,45998
2019,Acura,ILX,Premium Package,Modern Steel,Ebony,Front-wheel Drive,Gasoline,8-Speed Automatic with Auto-Shift,49321,FALSE,TRUE,TRUE,25991
