year,make,model,trim,exterior_color,interior_color,drivetrain,fuel_type,transmission,mileage,in_accident,1_owner,personal_used,price
2015,Dodge,Journey,SXT,Pitch Black Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,25567,FALSE,TRUE,FALSE,18995
2015,Dodge,Dart,GT,black,Black,Front-wheel Drive,Gasoline,Manual,110412,FALSE,FALSE,TRUE,9895
2012,Dodge,Durango,R/T,Stone White,Black,All-wheel Drive,Gasoline,6-Speed Automatic,135219,TRUE,FALSE,TRUE,15950
2013,Dodge,Durango,R/T,Brilliant Black Crystal Pearl,Black,All-wheel Drive,Gasoline,6-Speed Automatic,121493,FALSE,FALSE,TRUE,17950
2015,Dodge,Journey,SE,Blue Streak Pearlcoat,Blue,Front-wheel Drive,Gasoline,4-Speed Automatic,15147,FALSE,TRUE,FALSE,17995
2010,Dodge,Challenger,R/T,Brilliant Black Pearl,Dark Slate Gray,Rear-wheel Drive,Gasoline,5-Speed Automatic,127318,TRUE,FALSE,TRUE,14994
2021,Dodge,Charger,Scat Pack,Pitch Black Clearcoat,Ruby Red,Rear-wheel Drive,Gasoline,8-Speed Automatic,39904,FALSE,TRUE,TRUE,43950
2020,Dodge,Charger,SXT,White Knuckle,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,55444,FALSE,TRUE,FALSE,23678
2015,Dodge,Durango,R/T,Gray,Sport,Rear-wheel Drive,Gasoline,8-Speed Automatic,104250,TRUE,TRUE,TRUE,23495
2020,Dodge,Durango,R/T,Gray,Black,All-wheel Drive,Gasoline,8-Speed Automatic,28706,FALSE,FALSE,TRUE,44998
2017,Dodge,Grand Caravan,SXT,Black Onyx Crystal Pearlcoat,Black / Light Graystone,Front-wheel Drive,E85 Flex Fuel,Automatic,77534,FALSE,FALSE,FALSE,13295
2012,Dodge,Grand Caravan,SXT,GRAY,TAN,Front-wheel Drive,E85 Flex Fuel,Automatic,35000,FALSE,FALSE,FALSE,29888
2020,Dodge,Grand Caravan,SXT,White,Black,Front-wheel Drive,Gasoline,Automatic,87236,FALSE,TRUE,FALSE,19795
2019,Dodge,Challenger,GT,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,39625,FALSE,TRUE,TRUE,28792
2013,Dodge,Avenger,SE,Gray,Black,Front-wheel Drive,Gasoline,Automatic,126319,FALSE,FALSE,FALSE,10998
2022,Dodge,Durango,R/T,Destroyer Gray Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,2271,FALSE,TRUE,TRUE,52241
2013,Dodge,Challenger,SXT,Bright White,Dark Slate Gray,Rear-wheel Drive,Gasoline,Automatic,151230,FALSE,TRUE,TRUE,12995
2016,Dodge,Dart,SE,Bright White Clearcoat,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,119300,TRUE,FALSE,TRUE,9999
2012,Dodge,Charger,SE,Silver,Black,Rear-wheel Drive,E85 Flex Fuel,Automatic,111750,TRUE,FALSE,FALSE,14998
2019,Dodge,Grand Caravan,GT,Burgundy,Black,FWD,Gasoline,Automatic,68149,TRUE,FALSE,FALSE,20998
2017,Dodge,Durango,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,69030,FALSE,FALSE,FALSE,26400
2020,Dodge,Challenger,R/T,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,42027,FALSE,TRUE,FALSE,30700
2022,Dodge,Charger,Scat Pack,Smoke Show,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,8441,FALSE,TRUE,TRUE,57991
2012,Dodge,Grand Caravan,SE/AVP,True Blue Pearl,Black / Light Graystone,Front-wheel Drive,E85 Flex Fuel,Automatic,84091,TRUE,FALSE,FALSE,8650
2022,Dodge,Challenger,R/T Scat Pack,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3731,FALSE,TRUE,TRUE,53188
2019,Dodge,Charger,Scat Pack,Granite Crystal Clearcoat Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,54779,FALSE,FALSE,TRUE,41886
2021,Dodge,Durango,GT,White Knuckle Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,60690,FALSE,TRUE,FALSE,31695
2021,Dodge,Challenger,R/T Scat Pack,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,19244,FALSE,FALSE,TRUE,52997
2021,Dodge,Challenger,SRT Hellcat,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,3923,FALSE,TRUE,TRUE,84900
2016,Dodge,Journey,SXT,Red,Black / Red,Front-wheel Drive,Gasoline,4-Speed Automatic,83076,FALSE,FALSE,TRUE,13995
2012,Dodge,Challenger,SXT,White,Dark Slate Gray,Rear-wheel Drive,Gasoline,5-Speed Automatic,97021,TRUE,FALSE,TRUE,17995
2018,Dodge,Grand Caravan,SE,Black,Black,Front-wheel Drive,E85 Flex Fuel,Automatic,89923,FALSE,FALSE,FALSE,18995
2018,Dodge,Challenger,SXT,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,96720,TRUE,FALSE,FALSE,21783
2020,Dodge,Charger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,66468,FALSE,FALSE,TRUE,34995
2022,Dodge,Charger,GT,Indigo Blue,Black,Rear-wheel Drive,Gasoline,Automatic,20189,FALSE,TRUE,FALSE,34950
2020,Dodge,Challenger,R/T,Torred Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,71509,FALSE,FALSE,FALSE,27995
2022,Dodge,Charger,GT,Go Mango,Black,Rear-wheel Drive,Gasoline,Automatic,21577,FALSE,TRUE,FALSE,33250
2021,Dodge,Charger,Scat Pack,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,10893,FALSE,TRUE,TRUE,52997
2020,Dodge,Challenger,GT,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,32221,FALSE,TRUE,FALSE,30893
2019,Dodge,Journey,SE,Vice White,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,24000,TRUE,TRUE,TRUE,21391
2016,Dodge,Durango,R/T,Granite Crystal Clearcoat Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,81085,TRUE,FALSE,TRUE,25495
2022,Dodge,Charger,GT,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,1038,FALSE,TRUE,TRUE,33295
2010,Dodge,Charger,SXT,Bright White,Black,All-wheel Drive,Gasoline,5-Speed Automatic,153380,FALSE,FALSE,TRUE,6300
2022,Dodge,Challenger,R/T,White,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,19960,FALSE,TRUE,TRUE,37995
2020,Dodge,Grand Caravan,SXT,Octane Red Pearlcoat,Black/Light Graystone,Front-wheel Drive,Gasoline,6-Speed A/T,68043,FALSE,TRUE,FALSE,18988
2020,Dodge,Durango,GT,Redline 2 Coat Pearl,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,17755,FALSE,TRUE,TRUE,36997
2019,Dodge,Charger,R/T,White,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,53777,TRUE,FALSE,TRUE,31998
2022,Dodge,Charger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,10444,FALSE,TRUE,TRUE,36997
2020,Dodge,Grand Caravan,SXT,White,Black,FWD,Gasoline,Automatic,84138,FALSE,TRUE,FALSE,20895
2021,Dodge,Durango,GT,DB Black Crystal Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,58353,FALSE,FALSE,FALSE,31950
2014,Dodge,SRT Viper,GTS,Adrenaline Red,Black,Rear-wheel Drive,Gasoline,6-Speed Manual,22296,FALSE,FALSE,TRUE,135990
2020,Dodge,Durango,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,63830,FALSE,FALSE,FALSE,31987
2022,Dodge,Challenger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,15465,FALSE,TRUE,FALSE,34102
2021,Dodge,Challenger,SXT,Torred Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,43460,FALSE,TRUE,FALSE,26102
2021,Dodge,Charger,R/T,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,46356,FALSE,TRUE,FALSE,32998
2021,Dodge,Challenger,R/T,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,41262,FALSE,TRUE,FALSE,31654
2010,Dodge,Challenger,SE,Bright Silver Metallic CC,Dark Slate Gray,Rear-wheel Drive,Gasoline,"Automatic, 5-Spd w/Overdrive",81099,TRUE,FALSE,TRUE,13900
2020,Dodge,Charger,Scat Pack,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,35391,FALSE,FALSE,TRUE,49991
2019,Dodge,Charger,Scat Pack,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,24070,FALSE,FALSE,TRUE,44906
2021,Dodge,Charger,SXT,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,44421,FALSE,TRUE,FALSE,24749
2017,Dodge,Charger,SXT,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,59999,FALSE,FALSE,TRUE,22989
2011,Dodge,Nitro,Shock,Detonator Yellow,Dark Slate Gray,Rear-wheel Drive,Gasoline,5-Speed Automatic,45892,FALSE,TRUE,TRUE,13989
2007,Dodge,Ram 2500,ST,Silver / Bright Silver,Gray,Rear-wheel Drive,Diesel,6-Speed Automatic,107563,FALSE,TRUE,TRUE,23995
2022,Dodge,Charger,GT,Go Mango,Black,Rear-wheel Drive,Gasoline,Automatic,12006,FALSE,TRUE,TRUE,35888
2021,Dodge,Durango,SRT Hellcat,Destroyer Gray Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,8671,FALSE,TRUE,TRUE,103017
2013,Dodge,Avenger,SE,Billet Silver Metallic Clearcoat,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,150874,FALSE,FALSE,TRUE,7050
2022,Dodge,Charger,GT,F8 Green,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,20164,FALSE,TRUE,FALSE,35207
2021,Dodge,Charger,GT,Go Mango!,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,29692,FALSE,TRUE,FALSE,32327
2021,Dodge,Challenger,R/T Scat Pack,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,6-Speed Manual,1841,FALSE,FALSE,TRUE,48898
2022,Dodge,Charger,SRT Hellcat Widebody,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,1113,FALSE,TRUE,TRUE,92138
2015,Dodge,Journey,SXT,Pitch Black Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,119482,FALSE,FALSE,FALSE,9595
2014,Dodge,Journey,SE,Bright Silver Clearcoat Metallic,Light Frost,Front-wheel Drive,Gasoline,4-Speed Automatic,136055,TRUE,FALSE,TRUE,9595
2020,Dodge,Challenger,SXT,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,17292,TRUE,TRUE,TRUE,26985
2014,Dodge,Charger,R/T,Orange,Black,Rear-wheel Drive,Gasoline,5-Speed Automatic,111741,TRUE,FALSE,TRUE,15885
2020,Dodge,Challenger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,44776,TRUE,TRUE,TRUE,27799
2017,Dodge,Journey,SXT,Vice White,Black / Red,All-wheel Drive,Gasoline,Automatic,73002,FALSE,FALSE,FALSE,13660
2022,Dodge,Challenger,SRT Hellcat,Go Mango!,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,536,FALSE,TRUE,FALSE,89348
2022,Dodge,Durango,R/T,DB Black Crystal Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,8854,FALSE,TRUE,TRUE,54945
2018,Dodge,Grand Caravan,SE,Brown,Black,Front-wheel Drive,E85 Flex Fuel,Automatic,51130,FALSE,FALSE,TRUE,19998
2017,Dodge,Durango,SXT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,61248,TRUE,FALSE,TRUE,20599
2018,Dodge,Challenger,R/T,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,38240,FALSE,TRUE,TRUE,29120
2021,Dodge,Charger,R/T,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,43383,FALSE,TRUE,FALSE,32532
2022,Dodge,Charger,Scat Pack,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,6972,TRUE,TRUE,TRUE,57959
2020,Dodge,Challenger,SXT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,15159,FALSE,TRUE,TRUE,26959
2020,Dodge,Charger,R/T,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,13950,FALSE,TRUE,TRUE,35959
2020,Dodge,Charger,Scat Pack,F8 Green,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,19686,TRUE,TRUE,TRUE,49959
2017,Dodge,Challenger,SRT Hellcat,Yellow Jacket Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,12850,FALSE,TRUE,TRUE,64959
2011,Dodge,Durango,R/T,Mineral Gray Metallic Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,107884,FALSE,TRUE,TRUE,15991
2020,Dodge,Charger,Scat Pack,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,33058,FALSE,FALSE,TRUE,53992
2019,Dodge,Journey,SE Value Package,Black,Black,FWD,Gasoline,4-Speed Automatic,75681,FALSE,TRUE,FALSE,20195
2012,Dodge,Journey,SXT,Bright Silver Metallic,Black,Front-wheel Drive,E85 Flex Fuel,Automatic,125619,FALSE,FALSE,TRUE,6695
2014,Dodge,Durango,SXT,WHITE,BLACK,All-wheel Drive,Gasoline,Automatic,101962,TRUE,FALSE,TRUE,15995
2013,Dodge,Journey,SXT,WHITE,BLACK,Front-wheel Drive,Gasoline,Automatic,118563,TRUE,FALSE,FALSE,8495
2021,Dodge,Charger,SRT Hellcat,Torred Clearcoat,Sepia/Black,Rear-wheel Drive,Gasoline,Automatic,6211,FALSE,TRUE,TRUE,79888
2018,Dodge,Challenger,SXT,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,55001,TRUE,FALSE,TRUE,23350
2020,Dodge,Charger,SXT,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,66895,TRUE,TRUE,FALSE,20600
2018,Dodge,Charger,SXT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,73218,FALSE,FALSE,TRUE,19995
2013,Dodge,Dart,SXT,White,Gray,Front-wheel Drive,Gasoline,Manual,98700,FALSE,TRUE,TRUE,7998
2021,Dodge,Durango,GT,Billet Clearcoat Metallic,Black,All-wheel Drive,Gasoline,8-Speed Automatic,47417,FALSE,TRUE,FALSE,34976
2015,Dodge,Challenger,SXT,Gray,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,107165,FALSE,FALSE,FALSE,18998
2020,Dodge,Challenger,GT,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,26362,FALSE,FALSE,TRUE,27498
2021,Dodge,Charger,Scat Pack,Octane Red Pearlcoat,Ruby Red,Rear-wheel Drive,Gasoline,8-Speed Automatic,12167,FALSE,FALSE,TRUE,54500
2013,Dodge,Dart,SXT,Bright White,Black,FWD,Flexible Fuel,Automatic,56231,FALSE,FALSE,TRUE,10999
2016,Dodge,Dart,SE,Pitch Black Clearcoat,Black,Front-wheel Drive,Gasoline,6-Speed Automatic,72614,FALSE,TRUE,TRUE,13899
2017,Dodge,Charger,SRT 392,Maximum Steel Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,33983,FALSE,FALSE,TRUE,38999
2019,Dodge,Challenger,SXT,White Knuckle Clearcoat,Black,All-wheel Drive,Gasoline,8-Speed Automatic,25435,TRUE,FALSE,FALSE,25999
2012,Dodge,Challenger,SXT,Tungsten Metallic,Dark Slate Gray,Rear-wheel Drive,Gasoline,5-Speed Automatic,59209,TRUE,TRUE,TRUE,17999
2019,Dodge,Challenger,SXT,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,49771,FALSE,FALSE,TRUE,23988
2020,Dodge,Journey,Crossroad,Redline 2 Coat Pearl,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,53829,TRUE,TRUE,FALSE,19388
2017,Dodge,Charger,SE,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,22208,TRUE,TRUE,TRUE,19888
2016,Dodge,Charger,R/T Scat Pack,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,83840,FALSE,FALSE,TRUE,31588
2019,Dodge,Challenger,R/T Scat Pack,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,47126,TRUE,FALSE,TRUE,41888
2020,Dodge,Charger,SXT,Pitch Black Clearcoat,Black,RWD,Gasoline,8-Speed Automatic,68792,FALSE,TRUE,FALSE,21003
2020,Dodge,Journey,SE Value,Vice White,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,25380,FALSE,FALSE,FALSE,25694
2019,Dodge,Grand Caravan,GT,Billet Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,54380,TRUE,FALSE,FALSE,20495
2021,Dodge,Charger,R/T,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,40436,FALSE,TRUE,FALSE,34222
2019,Dodge,Charger,GT,Granite Crystal Clearcoat Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,25112,FALSE,TRUE,TRUE,29990
2020,Dodge,Challenger,R/T Scat Pack,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,2297,FALSE,TRUE,TRUE,53616
2022,Dodge,Challenger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,7311,FALSE,TRUE,FALSE,34025
2017,Dodge,Journey,Crossroad,Granite Crystal Clearcoat Metallic,Black / Red,Front-wheel Drive,Gasoline,Automatic,69297,FALSE,FALSE,FALSE,17750
2015,Dodge,Journey,SE,Silver,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,124293,TRUE,TRUE,TRUE,11995
2017,Dodge,Journey,SXT,Silver,Black / Red,Front-wheel Drive,Gasoline,6-Speed Automatic,96796,FALSE,FALSE,FALSE,13995
2015,Dodge,Challenger,SXT Plus,Phantom Black,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,128691,FALSE,FALSE,TRUE,19995
2014,Dodge,Avenger,SE,Black Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,118316,FALSE,FALSE,TRUE,4999
2018,Dodge,Charger,SXT Plus,Burgundy,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,64497,TRUE,FALSE,FALSE,16880
2021,Dodge,Challenger,SRT Hellcat,Gold Rush,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,22578,FALSE,FALSE,TRUE,74499
2020,Dodge,Challenger,R/T Scat Pack,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,6-Speed Manual,28655,FALSE,TRUE,TRUE,41999
2020,Dodge,Challenger,R/T,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,11922,TRUE,TRUE,TRUE,31299
2021,Dodge,Charger,SXT,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,2545,TRUE,TRUE,FALSE,26799
2019,Dodge,Challenger,R/T Scat Pack,Octane Red Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,44926,FALSE,FALSE,TRUE,46499
2019,Dodge,Grand Caravan,GT,Billet Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,51609,TRUE,FALSE,FALSE,18299
2021,Dodge,Charger,SRT Hellcat Widebody,Smoke Show,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,15104,TRUE,FALSE,TRUE,85999
2019,Dodge,Charger,SXT,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,45832,TRUE,TRUE,FALSE,22999
2020,Dodge,Charger,SXT RWD,F8 Green,Black,Rear-wheel Drive,Gasoline,Automatic,31923,FALSE,TRUE,FALSE,26663
2018,Dodge,Charger,SXT Plus RWD,Granite Pearlcoat,Black,Rear-wheel Drive,Gasoline,Automatic,45125,TRUE,FALSE,FALSE,26999
2018,Dodge,Challenger,R/T Plus,Destroyer Gray Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,8012,FALSE,TRUE,TRUE,34250
2020,Dodge,Charger,GT RWD,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,Automatic,30450,FALSE,TRUE,FALSE,33333
2016,Dodge,Challenger,R/T Plus,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,79117,FALSE,TRUE,TRUE,26586
2019,Dodge,Charger,Police,White Knuckle,Black,Rear-wheel Drive,Gasoline,5-Speed Automatic,40916,FALSE,FALSE,FALSE,19964
2019,Dodge,Grand Caravan,GT,White Knuckle,Black,Front-wheel Drive,Gasoline,Automatic,51540,FALSE,TRUE,FALSE,20894
2019,Dodge,Grand Caravan,SXT,Granite Pearlcoat,Black/Light Graystone,Front-wheel Drive,Gasoline,Automatic,75124,FALSE,TRUE,FALSE,19990
2019,Dodge,Grand Caravan,SXT,White Knuckle Clearcoat,Black/Light Graystone,Front-wheel Drive,Gasoline,Automatic,76116,FALSE,TRUE,FALSE,19990
2018,Dodge,Grand Caravan,SE,Brilliant Black Crystal Pearlcoat,Black,Front-wheel Drive,E85 Flex Fuel,Automatic,41535,TRUE,FALSE,TRUE,18688
2018,Dodge,Grand Caravan,SXT,Billet Clearcoat,Black / Light Graystone,Front-wheel Drive,E85 Flex Fuel,Automatic,81890,FALSE,FALSE,FALSE,16999
2020,Dodge,Grand Caravan,SXT,White Knuckle Clearcoat,Black / Light Graystone,Front-wheel Drive,Gasoline,Automatic,86074,FALSE,FALSE,FALSE,16299
2004,Dodge,Dakota,Base,Black,Black,Rear-wheel Drive,Gasoline,4-Speed Automatic,213879,FALSE,FALSE,TRUE,4200
2021,Dodge,Charger,R/T,Torred Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed A/T,40325,FALSE,TRUE,TRUE,37988
2022,Dodge,Charger,SRT Hellcat,Pitch Black Clearcoat,Demonic Red/Black,Rear-wheel Drive,Gasoline,8-Speed A/T,42,FALSE,TRUE,FALSE,95988
2019,Dodge,Challenger,GT,White Knuckle Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,43215,FALSE,FALSE,TRUE,27712
2014,Dodge,Avenger,SE,Billet Silver Metallic Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,107631,FALSE,FALSE,FALSE,8980
2013,Dodge,Challenger,SXT,Black,Dark Slate Gray,Rear-wheel Drive,Gasoline,5-Speed Automatic,80201,FALSE,TRUE,TRUE,19991
2003,Dodge,Ram 1500,SLT,Flame Red Clearcoat/Bright Silver Metallic Clearcoat,Black,Rear-wheel Drive,Gasoline,Manual,134613,FALSE,FALSE,TRUE,9997
2022,Dodge,Challenger,R/T,Triple Nickel Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,24,FALSE,TRUE,FALSE,37961
2019,Dodge,Journey,Crossroad,Pitch Black Clearcoat,Black,Front-wheel Drive,Gasoline,4-Speed Automatic,18325,FALSE,TRUE,TRUE,24988
2011,Dodge,Charger,R/T,Brilliant Black Crystal Pearl,Black,Rear-wheel Drive,Gasoline,5-Speed Automatic,43990,FALSE,TRUE,TRUE,16989
2020,Dodge,Challenger,R/T Scat Pack,Smoke Show,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,8381,FALSE,TRUE,TRUE,52989
2020,Dodge,Challenger,R/T,Torred Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,46474,FALSE,TRUE,FALSE,32756
2019,Dodge,Journey,Crossroad,Granite Pearlcoat,Black,Front-wheel Drive,Gasoline,Automatic,65206,TRUE,TRUE,FALSE,16999
2018,Dodge,Charger,SXT,Granite Pearlcoat,Black,RWD,Gasoline,8-Speed Automatic,76740,TRUE,TRUE,TRUE,21899
2016,Dodge,Charger,R/T,Jazz Blue Pearlcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,84037,TRUE,FALSE,TRUE,20999
2020,Dodge,Grand Caravan,SXT,White Knuckle Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,86899,TRUE,FALSE,FALSE,16399
2020,Dodge,Durango,R/T,DB Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,66339,TRUE,TRUE,TRUE,33299
2020,Dodge,Charger,SXT,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,80486,TRUE,FALSE,FALSE,21899
2018,Dodge,Charger,SXT Plus,Billet Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,72450,TRUE,TRUE,TRUE,23899
2014,Dodge,Journey,SXT,White,Black,Front-wheel Drive,Gasoline,Automatic,146251,FALSE,FALSE,TRUE,10995
2011,Dodge,Challenger,R/T,Orange,Black,Rear-wheel Drive,Gasoline,5-Speed Automatic,136688,TRUE,FALSE,FALSE,13495
2010,Dodge,Ram 1500,,White,Black,Four-wheel Drive,E85 Flex Fuel,Automatic,128119,FALSE,FALSE,FALSE,14995
2019,Dodge,Challenger,R/T,Maximum Steel Metallic,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,49439,FALSE,FALSE,FALSE,29985
2017,Dodge,Challenger,392 Hemi Scat Pack Shaker,Destroyer Gray Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,40618,FALSE,FALSE,TRUE,38999
2019,Dodge,Challenger,SRT Hellcat,Pitch Black Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,37972,FALSE,TRUE,TRUE,72995
2015,Dodge,Charger,SXT,Bright White Clearcoat,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,84085,TRUE,FALSE,FALSE,19999
2016,Dodge,Grand Caravan,AVP/SE,Billet Silver Metallic Clearcoat,Sandstorm / Black,Front-wheel Drive,E85 Flex Fuel,Automatic,142434,FALSE,FALSE,TRUE,11295
2016,Dodge,Grand Caravan,AVP/SE,Billet Silver Metallic Clearcoat,Black,Front-wheel Drive,E85 Flex Fuel,Automatic,125831,FALSE,FALSE,FALSE,9495
2019,Dodge,Charger,R/T,White,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,56411,TRUE,FALSE,TRUE,29777
2018,Dodge,Charger,SXT,Blue,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,62292,FALSE,FALSE,TRUE,18777
2013,Dodge,Durango,R/T,White,Black,Rear-wheel Drive,Gasoline,6-Speed Automatic,117956,TRUE,FALSE,FALSE,16885
2019,Dodge,Challenger,R/T,Black,Black,Rear-wheel Drive,Gasoline,8-Speed Automatic,93579,TRUE,FALSE,FALSE,25885
2019,Dodge,Grand Caravan,GT,White Knuckle Clearcoat,Black,Front-wheel Drive,Gasoline,Automatic,60598,FALSE,TRUE,FALSE,18999
